Title,Image,Rating,Price,Ad/Organic
"Storio Learning Educational Computer Kids Piano Laptop with Led Screen & Music | Fun Activities Toy Computer Tablet for Kids Toddlers 1 2 3 4 5 6 + Year Old Boy and Girls, Multicolor",https://m.media-amazon.com/images/I/71GwGKL75ZL._AC_UY218_.jpg,4.2 out of 5 stars,475,Ad
"Honeywell Newly Launched 4-in-1 Ultra Slim USB Hub 1xUSB 3.0 & 3 x USB 2.0 Ports, 30cms Cable, DataTransfer Speed Upto 5GBPS,Universally Compatible with All USB,PC,Speaker,Laptop,Hard Drive etc.",https://m.media-amazon.com/images/I/61qWuLCR35L._AC_UY218_.jpg,4.3 out of 5 stars,449,Ad
"Stuffcool Quad Pro Black 4 in 1 Metal Braided Cable 1.5m 100W Rugged E-Marker chip, case friendly design with lightning to type C, type C to C, Lighting to type A best for iPhones, Macbooks,Laptops",https://m.media-amazon.com/images/I/61-mAK5By4L._AC_UY218_.jpg,3.8 out of 5 stars,799,Ad
"Amkette 4 Port USB Hub 3.0 for PC with 5 Gbps Superspeed Data Transmission,1*USB 3.0 Ports, 3*USB 2.0 Port,Sleek Metal Design, for Laptop, MacBook, chromebook, Tablets & Smartphones (Grey)",https://m.media-amazon.com/images/I/51dFzbM63fL._AC_UY218_.jpg,4.4 out of 5 stars,279,Ad
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i3-1215U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Intel UHD Graphics/Windows 11/Office Home 2024/1Yr ADP Free/Arctic Grey/1.63Kg), 82RK01ABIN",https://m.media-amazon.com/images/I/81+SKGgJ9yL._AC_UY218_.jpg,4.0 out of 5 stars,"32,990",Ad
"Lenovo IdeaPad Slim 3 13th Gen Core i3-1305U (8GB RAM/512GB SSD/Integrated Intel UHD Graphics/14 inch (35.5cm)/Windows 11/ MS Office 2021/Grey/1.3Kg), 82X6004GIN Thin & Light Laptop",https://m.media-amazon.com/images/I/81adHsgHydL._AC_UY218_.jpg,4.1 out of 5 stars,"36,990",Ad
"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX",https://m.media-amazon.com/images/I/71J2F-6lIPL._AC_UY218_.jpg,4.1 out of 5 stars,"59,990",Ad
"HP 14 AI Laptop, Intel Core Ultra 7 155H, 12 Tops, 16GB DDR5, 512GB SSD (Win11, Office21, Silver, 1.4 kg) Anti-Glare FHD, 14-inch (35.6 cm) Intel Arc Graphics, FHD Camera w/Shutter, Backlit, gr1023TU",https://m.media-amazon.com/images/I/712Y+xrw9SL._AC_UY218_.jpg,3.5 out of 5 stars,"82,990",Ad
"Lenovo Smartchoice LOQ, Intel Core i5-12450HX, 12th Gen, RTX 3050-6GB, 16GB RAM, 512GB SSD, FHD 144Hz 300Nits, 15.6""/39.6cm, Windows 11, MS Office 21, Grey, 2.4Kg, 83GS003UIN, Gaming Laptop",https://m.media-amazon.com/images/I/81tmCrtiRgL._AC_UY218_.jpg,4.0 out of 5 stars,"69,990",Ad
"Lenovo LOQ, Intel Core i5-13450HX, 13th Gen, NVIDIA RTX 3050-6GB, 16GB RAM, 512GB SSD, FHD 144Hz 300Nits, 15.6""/39.6cm, Windows 11, MS Office 21, Grey, 2.4Kg, 83DV00BHIN, 100% sRGB Gaming Laptop",https://m.media-amazon.com/images/I/81sI6re6MPL._AC_UY218_.jpg,4.0 out of 5 stars,"70,371",Ad
"Dell {Smartchoice} G15-5530 Core i5-13450HX| NVIDIA RTX 3050, 6GB (16GB RAM|1TB SSD, FHD|Window 11|MS Office' 21|15.6"" (39.62cm)|Dark Shadow Grey|2.65Kg|Gaming Laptop",https://m.media-amazon.com/images/I/61LOOMpEgxL._AC_UY218_.jpg,4.0 out of 5 stars,"78,990",Ad
"Tygot 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Grey)",https://m.media-amazon.com/images/I/81hY7R3MCoL._AC_UY218_.jpg,4.4 out of 5 stars,299,Ad
"Dyazo 6 Angle Foldable & Portable Laptop Riser Stand Made with Aluminum Alloy |Compatible for Dell, Mac Book Air/Pro, Lenovo Acer Hp Asus & Other Laptop from 11.6 inch to 15.6 Inches- Black",https://m.media-amazon.com/images/I/61MSSzgvXOL._AC_UY218_.jpg,4.3 out of 5 stars,349,Ad
"BigPlayer Black Laptop Sleeve for 15.6-16 Inch Laptops - Protective Case with Charger Pouch, Ideal for Men & Women",https://m.media-amazon.com/images/I/71d58Z4fAHL._AC_UY218_.jpg,1.0 out of 5 stars,309,Ad
Amazon Basics Laptop Cooling Pad with LED Lighting Effect | USB Powered Gaming Laptop Cooler Stand | Quiet 6 Fans with 2-Level Height Adjustment| Slim Chill Mat for 10 to 17-Inch Laptops(AB-CP1_BLACK),https://m.media-amazon.com/images/I/817mr0vf1gL._AC_UY218_.jpg,4.0 out of 5 stars,799,Ad
"Dyazo 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Silver)",https://m.media-amazon.com/images/I/61kBmC8NfGL._AC_UY218_.jpg,4.3 out of 5 stars,349,Ad
"HP Victus, 12th Gen Intel Core i5-12450H, RTX 3050, 16GB DDR4,512GB SSD (Win11, Office21, Blue,2.3kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm), Flicker-free Gaming Laptop, Enhanced Cooling,fa1379TX/fa1412tx",https://m.media-amazon.com/images/I/71M6Hk2ZDbL._AC_UY218_.jpg,3.4 out of 5 stars,"62,990",Ad
"HP 15S AMD Ryzen 5000 (16GB Ram/512GB SSD/Fhd/Windows 11/Ms Office 21/Backlit Keyboard/ 15.6"" (39.6 Cm)/Silver/2.21 Kg) Eq2305Au/Eq2182Au Laptop",https://m.media-amazon.com/images/I/71phX67q6zL._AC_UY218_.jpg,4.0 out of 5 stars,"39,990",Ad
"Tygot 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Black)",https://m.media-amazon.com/images/I/71leDSNPrUL._AC_UY218_.jpg,4.4 out of 5 stars,299,Ad
"Tygot 15-15.6 Inch Laptop Sleeve Carrying Case, Waterproof Computer Cover Bag Compatible with MacBook Pro M3 M2 M1 Pro/Max 2024-2019, Dell XPS15, Hp Lenovo Acer Asus Chromebook (Blue)",https://m.media-amazon.com/images/I/91LvDyudpzL._AC_UY218_.jpg,4.9 out of 5 stars,299,Ad
BigPlayer Black Laptop Sleeve Case for 15.6-16 Inch Devices – Durable Laptop Bag with Back Strap for Men & Women,https://m.media-amazon.com/images/I/710vlT2h+KL._AC_UY218_.jpg,2.0 out of 5 stars,252.,Ad
